kc,kphi,n0,n1,phi
29.7605,2083,0.897819,0.203643,0.533128
29.7605,2083,0.898455,0.204194,0.533669
29.7605,2083,0.897979,0.204355,0.534533
29.7605,2083,0.898609,0.204963,0.535017
29.7605,2083,0.898619,0.204642,0.535964
29.7605,2083,0.898746,0.205347,0.536662
29.7605,2083,0.898996,0.206183,0.53715
29.7605,2083,0.898559,0.207066,0.537317
29.7605,2083,0.898814,0.20803,0.537392
29.7605,2083,0.899166,0.208863,0.536965
